lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,poorSignalLevel,meditation,attention
12834,34509,18253,18908,6901,3167,151727,77362,0,64,56
44037,8458,12541,9061,3417,8943,33443,19117,0,78,64
11246,5876,3694,2587,1585,3148,965634,49811,0,74,35
5920,3868,3833,7527,4311,20764,717829,56721,0,57,51
4865,847,5603,9406,2321,27444,7752,4840,0,56,83
19185,6332,2362,3415,4761,8314,198452,153324,0,54,61
33768,57879,58678,24849,26164,46943,88800,181957,0,40,35
33768,57879,58678,24849,26164,46943,88800,181957,0,40,35
31690,23247,7924,12741,4036,19498,2438944,287808,0,64,40
24622,4332,5271,1824,2315,7353,670615,91229,0,37,17
91179,40824,34625,12289,6915,29229,1313337,568048,0,40,17
33712,13437,17348,14854,8622,19345,261792,59312,0,56,34
5598,3703,14586,4234,3715,2020,14556,9044,0,74,60
5136,8515,18292,5503,4367,1403,30228,9801,0,77,77
18299,12710,7757,5987,6701,2096,21080,44098,0,70,74
3636,587,7987,3303,4748,1273,16855,17269,0,57,67
22409,3918,3997,3702,1683,2640,8238,20850,0,57,77
14123,4152,10762,8692,4008,894,164406,20999,0,60,81
10453,2117,8141,4198,4364,1835,46181,9481,0,80,77
3020,5509,2231,5461,2616,1152,5658,7127,0,74,84
24816,2708,5525,5241,2194,2242,2504,10159,0,80,93
3202,4546,2413,6481,2698,1537,29359,9237,0,84,93
4557,11462,2454,11244,1761,2297,19457,12439,0,80,91
9032,10486,5308,8952,4387,2309,8384,13577,0,94,87
3004,5144,7987,3104,2532,2123,5515,13017,0,90,80
11172,9845,25356,3990,5737,2726,61987,46254,0,81,81
13031,4603,6663,6405,3545,1362,33046,7361,0,84,90
13031,4603,6663,6405,3545,1362,33046,7361,0,84,90
20050,14941,5435,9649,4985,2702,287631,137700,0,80,75
274,9533,9062,12474,6656,1779,18454,10854,0,54,77
7734,2520,13781,6142,4908,484,20569,12532,0,47,84
21163,6713,6378,7484,5620,5836,605543,204734,0,48,69
10959,8657,13402,12042,3932,1527,128204,74254,0,53,66
9874,8767,19433,8627,4294,2492,16470,4510,0,66,77
7130,10240,11540,15552,4971,9080,111340,103642,0,60,74
3679,9716,2217,11328,2770,7467,371062,57211,0,61,81
4301,4217,5862,2650,2332,1778,70955,19160,0,63,88
6988,17516,8683,13931,7236,33723,25946,8787,0,67,78
17930,2797,28085,15356,3911,9856,356988,283217,0,60,51
629,1184,5398,675,196,1272,503281,5409,0,35,27
27828,4338,5200,3168,2691,2255,262344,374819,0,29,17
48800,19897,20582,12101,1272,6373,515044,688782,0,54,13
5937,1431,1011,396,443,683,151603,22684,0,67,16
23445,8010,2219,1811,976,1202,813551,48773,0,64,14
37628,15995,2907,4870,1423,2716,1018229,56497,0,48,21
133751,1532,22019,6274,3208,11742,2052886,185509,0,54,24
36744,18356,8015,15284,5036,19731,855060,358921,0,44,29
36744,18356,8015,15284,5036,19731,855060,358921,0,44,29
22313,2634,5466,2956,2778,3714,437285,54741,0,51,26
12385,722,3479,2932,842,5241,1205117,80133,0,43,26
6763,2447,2183,2267,1700,3785,101776,65863,0,44,30
23669,9453,5882,3061,1012,2481,566415,133311,0,56,26
66610,7256,15274,7863,6274,16279,1028465,375193,0,56,14
32118,5248,3126,5826,1992,9934,440042,297499,0,43,14
8651,6304,1983,2167,1793,3451,538611,58899,0,35,21
27566,10576,15763,6953,3497,9381,468526,405140,0,35,26
5450,2945,2725,4876,1152,4702,701492,219465,0,41,29
28608,5166,4245,4833,2074,2989,169894,72444,0,44,24
27810,9083,6501,5736,5383,12654,624786,74475,0,48,20
71041,2103,12656,12428,7621,21617,587659,213652,0,48,30
16741,11564,12122,16059,6870,9747,1826085,631386,0,41,43
31274,5505,9874,2459,2979,3004,667802,311463,0,48,26
31274,5505,9874,2459,2979,3004,667802,311463,0,48,26
19357,92666,70413,23928,24097,57597,1329408,134909,0,53,41
15873,4443,7405,11337,7912,2397,53468,23433,0,67,83
17134,11673,19655,10348,12020,1362,410021,25982,0,61,96
12933,7331,10943,12943,4350,3643,5643,27738,0,69,100
4889,1855,9687,11333,3904,3278,19614,10673,0,70,100
959,5426,6150,5691,2497,3893,13052,22914,0,64,77
6088,13046,11432,7508,8489,2635,15921,40236,0,64,87
12720,6152,15494,12640,10350,7719,19763,21460,0,67,74
9377,12517,2210,10201,7969,6252,373371,129217,0,43,63
5870,831,1301,927,1441,1277,106980,18932,0,48,53
2496,5906,3063,2063,2210,1792,954191,308376,0,50,44
11429,16104,11154,1890,1533,2571,421233,320858,0,23,16
7075,3723,1262,1426,542,1042,176925,67578,0,8,1
4414,133,3950,740,639,760,279844,100698,0,24,14
4414,133,3950,740,639,760,279844,100698,0,24,14
18924,4956,4894,10553,6646,3143,5337,8543,0,41,29
49118,30484,16950,29261,19269,41629,1378813,310883,0,64,100
11403,7476,11060,16317,6221,10892,231853,66351,0,35,75
11403,7476,11060,16317,6221,10892,231853,66351,0,35,75
3930,293,2024,415,640,1714,282137,10082,0,74,57
40119,7634,10300,7036,4977,12358,387551,895449,0,43,20
16375,13827,3561,14034,7716,10244,1844696,420227,0,8,17
2343,1615,496,488,705,396,135338,17602,0,35,30
14838,6595,4500,2192,1170,1927,820611,274242,0,35,24
23072,2477,29003,3787,10373,11654,324019,82563,0,44,41
23072,2477,29003,3787,10373,11654,324019,82563,0,44,41
21159,4230,2800,1303,384,1325,545726,47809,0,51,37
3246,3269,530,765,428,1852,165884,24693,0,57,24
173944,47459,25941,20107,6134,10135,316004,820265,0,56,24
9678,10412,6081,4356,1397,2316,289300,616455,0,30,24
31272,29005,36821,22045,26137,46062,805220,142003,0,21,37
12752,13577,13579,8381,5490,14883,658962,243821,0,54,64
12311,3411,3110,2143,1939,5515,820924,57797,0,41,47
5054,3468,592,2501,686,1087,111781,55437,0,38,38
53627,62030,9176,22193,4319,13588,1175862,458775,0,41,27
132597,40954,12074,12068,9151,6074,2001729,410878,0,57,21
39871,2161,3322,3503,2542,1550,668386,387149,0,41,8
6153,6582,5700,7096,2797,3661,667335,265848,0,20,11
10028,1097,1205,1119,609,967,618110,61060,0,24,23
27335,5149,16180,9178,8907,2424,123250,66330,0,54,43
6034,3509,2457,2142,2586,858,469624,19793,0,80,64
4006,10415,3679,1726,2341,225,150208,23299,0,78,63
15379,8912,3566,9653,5040,962,16898,52248,0,63,78
8141,10568,25456,4963,4917,1323,62499,42279,0,53,84
24675,5201,5944,6631,2591,2023,521003,32551,0,70,70
7635,1899,4396,7262,4779,2684,32132,10921,0,81,88
29661,12224,13778,9066,3461,3185,1346380,471864,0,43,67
29661,12224,13778,9066,3461,3185,1346380,471864,0,43,67
12996,3889,12833,5133,1338,821,68325,69950,0,41,57
94551,4735,18073,12992,3041,1807,654800,25187,0,70,67
11026,3205,5630,5031,4140,699,22496,20947,0,81,64
27775,17476,39686,30434,6539,11816,933067,62234,0,70,70
30274,23846,18660,12189,4563,3910,1266798,31874,0,78,64
7010,12291,3351,5460,9202,4560,295892,140832,0,66,56
50611,25714,10821,8498,6134,3278,227559,63476,0,60,56
50611,25714,10821,8498,6134,3278,227559,63476,0,60,56
15212,2708,9019,10294,4672,11643,48605,36985,0,66,77
214378,5765,41125,16135,14316,65104,2777545,72958,0,69,56
11763,62226,56344,19416,7817,69496,1523501,567077,0,66,37
6266,6166,2370,3404,1864,3749,1193398,103852,0,26,27
4664,1156,608,637,172,413,58763,14965,0,27,23
2987,1357,888,578,283,464,308152,44985,0,44,29
3928,452,1913,535,263,604,241826,29109,0,35,30
13623,19541,9568,9032,2321,3190,1617638,93227,0,37,27
13623,19541,9568,9032,2321,3190,1617638,93227,0,37,27
13623,19541,9568,9032,2321,3190,1617638,93227,0,37,27
11590,21735,28864,12701,8041,12381,3291765,147606,0,40,30
11969,4561,1287,1122,273,842,59751,27920,0,57,23
143834,12910,12956,5912,9776,15470,558679,1026551,0,66,10
22257,9123,9851,9760,3554,2042,18454,37831,0,57,35
18375,22792,10797,8691,4932,10486,19197,16715,0,74,78
36862,9270,42803,14396,10660,22041,1240090,210095,0,64,75
15465,1951,1292,1269,542,397,42416,13295,0,67,47
19608,6786,21334,6247,1870,5872,62629,44917,0,83,50
99984,33629,26033,14465,21948,39960,494760,376035,0,43,27
38195,16636,23981,8275,3845,19752,1292965,143482,0,60,41
82752,33429,11462,19854,6851,91316,1346815,205265,0,81,64
17258,8399,8566,4233,3292,5214,736083,156874,0,56,57
90405,13944,26709,10813,1597,27976,1491745,91965,0,43,40
153807,84382,59735,24986,31779,23717,987330,502790,0,51,29
153807,84382,59735,24986,31779,23717,987330,502790,0,51,29
1265,2976,2893,2168,985,2529,552861,43422,0,44,26
1265,2976,2893,2168,985,2529,552861,43422,0,44,26
29521,4728,8336,6042,4969,1811,896614,178143,0,47,8
50963,3791,5314,5772,2719,4057,952223,75791,0,53,41
9829,31254,7719,13873,1454,2337,592557,467792,0,47,29
18802,740,791,1712,638,857,537455,16940,27,37,23
23644,10998,5569,2926,1346,2572,976818,85158,0,47,23
23644,10998,5569,2926,1346,2572,976818,85158,0,47,23
2555,16696,7169,5048,5426,4558,5102,8599,0,69,47
63737,118673,27981,17377,47543,82970,365467,260305,0,77,60
8410,2850,4512,2843,1740,1796,341500,74725,0,53,57
20822,4112,4428,4014,831,1280,420480,44999,0,51,47
3678,2194,8125,14171,4361,7822,434430,67903,0,43,47
3741,3588,3478,5886,2089,1475,9618,12833,0,48,77
4446,7664,8165,3423,2368,5434,457831,44907,0,56,83
12466,25100,14820,7169,4551,2994,146439,157236,0,43,60
26478,13961,7610,2539,3445,557,15753,73279,0,67,51
11176,3909,2418,5564,3883,819,4439,5381,0,70,70
6111,5388,4481,1474,2062,11649,972392,65711,0,66,81
65843,39463,38726,10878,7212,6237,912087,187768,0,67,61
57658,13777,36188,11311,8324,5108,458376,193584,0,78,64
57658,13777,36188,11311,8324,5108,458376,193584,0,78,64
30670,5903,1767,2872,2340,1693,332035,114375,0,47,30
2560,4703,1132,2789,4381,5188,11187,9240,0,75,43
42802,19665,19633,4385,6056,14474,1401102,1151241,0,57,38
13825,26499,15695,12200,4911,5245,719152,275688,0,30,14
50823,9003,8204,8379,3856,6540,1178960,133453,0,34,35
65110,7295,9128,8256,3376,11573,2760656,489838,0,35,26
7669,2567,3326,2215,1141,2281,705435,198500,0,29,20
18160,4639,3914,2395,4028,8693,492936,63427,0,24,14
62304,23473,37249,11279,6905,18972,1360001,217185,0,51,27
75441,16927,8590,12062,2320,32600,965308,312852,0,67,35
6930,10880,9934,13251,4038,12987,7718,13814,0,64,53
77206,49245,50712,16694,20122,103882,1814246,814509,0,69,69
14429,12633,24261,5978,8673,8500,338495,156217,0,57,50
3982,6095,7209,5647,1641,2880,352494,219496,0,37,50
4026,1195,1275,1309,884,1655,361234,52063,0,20,26
74819,38927,13786,6720,2905,7702,1753563,391076,0,30,3
20110,4652,3228,3832,1426,3001,928832,215850,0,35,4
9617,12364,11941,19825,3630,9038,1237348,762651,0,24,23
198755,243416,100652,115894,31003,241897,697403,776831,0,30,35
111973,34193,43906,17677,44403,59192,996078,105886,0,53,27
111973,34193,43906,17677,44403,59192,996078,105886,0,53,27
1609,2989,5780,6083,7132,6923,29904,12903,0,57,78
5555,2814,5091,9874,4262,1227,7166,12386,0,61,97
77,3162,1706,862,500,570,113038,11580,0,67,80
1749,7942,11385,6129,4486,1742,120158,39168,0,63,66
24910,6538,23312,5572,1876,1256,271629,159679,0,61,56
15661,1738,5961,2792,4338,2178,4346,42565,0,66,51
8267,3932,8706,2228,2285,2243,10487,14650,0,78,64
6913,2519,7116,6318,2736,3309,55593,67210,0,67,74
19207,6548,5351,8049,3038,4206,8584,29091,0,60,64
19079,35043,11684,5725,7274,2792,622718,45815,0,78,53
2358,9623,13727,6746,2151,3023,5836,67276,0,83,57
2358,9623,13727,6746,2151,3023,5836,67276,0,83,57
5241,4275,3164,4360,3459,1814,1191,2226,0,64,74
7054,6852,2831,3122,4992,980,9184,13910,0,78,78
8506,8631,5210,5864,5570,2211,136999,28291,0,83,77
26936,13768,13767,10350,11918,4052,37964,40579,0,74,75
14284,12921,4863,9135,19052,18506,400298,34977,0,77,81
14284,12921,4863,9135,19052,18506,400298,34977,0,77,81
8164,1183,2879,3224,1189,3119,223476,28003,0,37,48
4884,728,5040,4015,2222,4369,1662,6500,0,56,69
26451,6859,5459,8959,4327,53631,318255,55639,0,67,80
26451,6859,5459,8959,4327,53631,318255,55639,0,67,80
79124,50275,51026,35404,5466,25889,3113245,240268,0,87,43
18541,9706,3596,2598,988,2597,1138484,162836,0,57,35
10277,3686,2342,1936,1260,3495,1030528,85565,0,30,21
53339,2936,8906,3105,2445,15977,1122786,544855,0,30,13
53339,2936,8906,3105,2445,15977,1122786,544855,0,30,13
2828,1991,13437,6948,2254,14222,619004,73582,0,34,34
22851,37316,28063,9975,8299,24123,286547,125220,0,38,37
6416,9087,8492,4329,4661,35139,507189,58289,0,54,29
110250,78686,37692,27063,21347,77860,1791109,600555,0,56,37
39252,28529,25454,19832,16664,61294,1007447,545125,0,38,21
8070,6308,6442,2729,2829,18463,537401,22170,0,53,29
38346,5832,1415,1899,1365,4181,1022153,344165,0,53,13
2841,1000,460,351,333,451,100324,76040,0,11,1
5924,7499,760,1412,777,6458,210669,112447,0,23,1
33802,3561,2194,2442,1391,5476,830216,294455,0,30,1
62409,5181,3176,3876,1306,4489,1212658,163715,0,41,7
36638,20074,6356,2432,1929,3835,1251070,320538,0,41,4
36638,20074,6356,2432,1929,3835,1251070,320538,0,41,4
4110,2187,2520,1244,315,755,834714,29017,0,54,16
7180,3898,1570,1585,1062,911,534740,52153,0,53,23
10302,5830,4864,6724,8688,6037,63147,4959,0,48,38
17059,20481,5855,8674,4995,1764,159108,98617,0,51,48
9232,3000,8297,13761,2497,2995,3786,24970,0,51,74
80879,7189,8202,22545,15007,13051,410399,48069,0,83,100
29411,4198,13943,3669,5503,1375,18195,27308,0,87,64
337,1495,4813,4951,2634,1178,659617,8128,0,60,60
7166,8435,31768,19611,6388,4089,308263,267815,0,37,80
40817,8642,10685,3759,3243,1453,59739,18775,0,53,69
40817,8642,10685,3759,3243,1453,59739,18775,0,53,69
40817,8642,10685,3759,3243,1453,59739,18775,0,53,69
30301,29714,26351,7230,3295,12168,1578930,91014,0,60,47
10510,4585,6180,2028,3517,6061,85090,32818,0,81,48
20619,6549,7247,6888,4572,37888,306375,87638,0,53,43
20619,6549,7247,6888,4572,37888,306375,87638,0,53,43
68165,2266,15583,12822,4252,12660,1331819,309526,0,43,30
16880,11648,10039,3971,2075,18150,1036478,408115,0,34,24
16880,11648,10039,3971,2075,18150,1036478,408115,0,34,24
9458,4200,1971,1263,931,3206,281420,59684,0,43,13
110449,13842,26359,8272,3019,26178,620700,641820,0,34,8
28927,12109,6049,4826,4277,18307,61687,132818,0,34,7
8916,5374,9799,10174,4977,4901,19825,13788,0,60,56
13286,15526,24380,15410,4259,3168,50884,65735,0,77,81
14240,11972,16958,11902,2318,1620,3709,19171,0,83,83
6460,4379,8659,9641,2638,1632,8563,18036,0,74,97
11200,12736,2445,8066,2388,4673,16534,9586,0,78,97
6616,27661,5270,4647,1540,2874,12014,14246,0,97,87
16558,14184,12308,3390,3241,1734,1842,16584,0,96,80
16558,14184,12308,3390,3241,1734,1842,16584,0,96,80
18722,23637,29476,5694,7641,14415,1363417,98131,0,91,74
232750,381436,197090,41391,66426,174291,1301176,706791,0,77,51
15200,11589,4984,1866,2364,5028,787189,25116,0,66,38
57086,19617,8521,17964,4955,30863,127691,91861,0,75,56
57086,19617,8521,17964,4955,30863,127691,91861,0,75,56
26077,25163,9385,6446,4294,14944,634316,137043,0,78,23
6245,5087,14983,9124,9583,1311,26110,10551,0,69,50
97086,28774,30306,26687,11209,18808,341747,578215,0,57,77
20229,33150,88983,21334,43288,92361,645081,415736,0,35,56
12312,6706,9176,6738,3253,4516,14660,21568,0,47,50
4470,7934,18663,7986,3463,2471,142057,56163,0,48,57
10503,9331,6207,5841,4647,2783,5048,22454,0,61,74
6339,4216,3618,8865,1862,1556,24156,16003,0,75,81
33344,7791,7027,5482,16681,15658,430147,82256,0,88,74
19777,3869,5600,4527,6759,3420,16659,20142,0,83,64
11876,29553,19092,7836,2705,3838,390244,114756,0,67,67
3868,2937,3300,5221,5007,1383,35179,29440,0,61,66
3390,4344,1954,2489,2842,1917,7564,13052,0,74,77
11097,8929,5699,4542,2324,1824,8634,13330,0,83,77
11097,8929,5699,4542,2324,1824,8634,13330,0,83,77
1255,20489,21015,4983,6124,1460,39224,16955,0,80,81
9068,9584,12911,7044,2883,2540,25090,13800,0,80,94
9747,11053,9375,13018,3025,2295,101150,119453,0,56,93
12636,4857,5386,3534,3232,1428,31920,26946,0,50,74
1720,2836,6145,3083,1305,1266,150433,49150,0,61,67
57392,8024,7593,21642,3450,6563,368372,320714,0,44,51
17940,23047,26811,10583,3064,1954,99392,73710,0,51,53
10807,9487,9708,3448,5114,9886,340082,207365,0,50,50
68297,15284,2840,15177,5881,43615,2130852,240841,0,41,27
68297,15284,2840,15177,5881,43615,2130852,240841,0,41,27
1956,1163,4183,6319,2480,1472,36047,30458,0,41,56
737,2369,7189,3588,2588,8910,11919,14118,0,53,67
25064,14460,12321,4029,6954,2111,805699,354323,0,40,43
34107,6120,26686,9896,3711,9487,111280,139401,0,41,34
6744,11924,10399,6475,7352,3257,153003,48791,0,60,53
3665,6571,10928,5520,3611,4816,502544,34853,0,53,51
8544,13455,1317,3417,2117,5104,14658,4993,0,69,57
11087,9698,9124,6431,8105,12813,28658,28771,0,63,66
23347,9139,8206,5488,2133,20628,157137,99640,0,56,51
23347,9139,8206,5488,2133,20628,157137,99640,0,56,51
23347,9139,8206,5488,2133,20628,157137,99640,0,56,51
76372,8010,7070,8055,1669,22842,642926,216752,0,48,24
18815,5149,3331,7761,3722,18398,1824930,341498,0,13,7
1466,6349,11678,6388,5753,13561,1022720,77277,0,23,21
6762,2776,6299,6702,3183,1175,14559,11572,0,64,63
991,462,2407,1152,1558,753,134708,20205,0,53,84
28857,17191,11565,2490,1316,2162,55326,78699,0,64,44
28768,12496,3261,13768,10306,10039,74518,20770,0,88,51
14488,14906,4686,6568,2611,3226,22864,24562,0,88,74
14488,14906,4686,6568,2611,3226,22864,24562,0,88,74
8666,7620,9193,3303,2431,1734,15888,43859,0,100,61
14228,7960,5786,5043,4017,2584,11000,6547,0,84,78
109756,41940,16428,13488,7275,5301,41234,100394,0,100,78
2028,6051,3348,6333,4772,1147,15808,14760,0,100,78
15628,5768,2397,6740,3511,1575,24701,14087,0,90,77
9769,11047,7122,6238,2407,2268,32295,15612,0,91,75
5988,7775,9433,3825,4598,1472,2168,11825,0,87,75
15982,2670,5593,4899,3720,711,4562,13656,0,88,83
19980,3500,4870,4168,864,2358,7642,17606,0,90,78
19980,3500,4870,4168,864,2358,7642,17606,0,90,78
11408,3578,4226,4669,2918,2178,24596,32849,0,74,56
3155,23951,16228,3728,1533,1793,17864,15031,0,66,53
16639,2402,5980,6654,4506,1136,277676,161813,0,63,51
21158,4161,2973,4305,1837,1187,31868,7263,0,74,56
8857,17885,17655,5839,5395,6246,82850,72498,0,81,66
43576,78982,89902,42489,65460,125347,1357548,552126,0,69,57
8124,5591,6484,11057,6591,10148,33653,30085,0,63,67
24564,10287,9443,9227,6513,21311,616882,801790,0,35,44
24564,10287,9443,9227,6513,21311,616882,801790,0,35,44
2119,756,962,515,384,5170,164263,11047,0,41,16
9849,6764,3060,1022,816,1903,584683,146223,0,50,13
16728,2794,2261,1225,665,3951,374390,249875,0,34,3
8112,5973,1005,1778,1374,4347,276126,117488,0,17,1
19588,15792,6146,9024,2635,5726,490093,118010,0,27,21
50803,8973,5057,3649,2502,24325,1556542,103685,0,64,35
12351,31637,24883,11230,6231,27241,2191427,196475,0,66,29
5287,1880,2178,2192,1544,28836,12760,16040,0,43,24
2054,825,1713,1640,802,5150,1372564,39804,27,53,34
25163,12726,13275,23729,3211,13558,1272273,235240,0,64,47
4494,5661,3265,7095,1839,19462,5247,14323,0,63,50
8457,9369,7075,5077,5231,29685,965368,290383,0,47,21
18217,6987,12312,4292,3841,25675,323432,180211,0,30,4
23431,25434,46108,18678,8420,27349,596575,400303,0,44,47
26480,2800,2566,1921,1582,2739,250063,169416,0,47,35
16205,50888,46640,25765,25347,67626,1398519,757693,0,35,13
3664,1898,9547,8323,2711,868,20078,21154,0,47,43
68822,48070,12682,11628,4836,3539,348778,92990,0,64,56
4518,26815,18174,10548,3467,2525,81045,98592,0,64,78
57602,16031,7659,7485,7029,1278,279858,96989,0,70,74
9768,3790,6823,4649,1772,1781,40029,11826,0,80,63
11016,2754,3691,7720,2226,1859,510221,127295,0,61,66
27178,26787,11270,13079,14973,6781,267928,87319,0,54,57
2305,4525,3900,2849,1873,2972,9996,21489,0,63,70
5159,18309,28516,3762,3440,1824,106145,87082,0,66,70
9484,2293,5741,6551,3543,9462,7614,38029,0,67,56
7607,3319,7473,4036,4652,2074,8953,10081,0,75,70
10661,1936,2494,2872,1710,1674,42544,11423,0,81,77
9409,2782,6548,2672,4336,10287,15728,4002,0,83,77
7988,296,1108,1556,614,2874,113823,21128,0,84,78
10403,3102,4062,4082,1174,3536,51592,31539,0,87,74
5277,1920,1645,2252,1412,4335,280480,35983,0,54,61
72058,31432,37174,22953,10584,39659,3188630,409104,0,54,47
72058,31432,37174,22953,10584,39659,3188630,409104,0,54,47
6409,6779,9329,3967,5129,18192,1437458,79818,0,44,34
26612,32600,18741,7691,5970,20673,1297440,274937,0,27,23
16136,33362,28407,9369,7471,40889,863194,128470,0,41,26
50805,10693,10460,14774,4227,4922,307562,201851,0,69,41
74743,20769,21817,15502,3533,29091,84453,128239,0,63,41
3764,2145,1166,775,879,2362,179752,19160,0,50,24
7650,2983,745,494,167,930,374753,22052,0,61,17
7650,2983,745,494,167,930,374753,22052,0,61,17
9725,4448,1567,894,444,2214,441530,20475,0,66,11
28073,4927,3104,646,1076,5332,793098,63390,0,70,4
85165,20838,18965,23526,4280,23765,1207698,1420409,0,47,7
24564,14881,13469,7923,4220,25201,1707599,1116578,0,23,4
24564,14881,13469,7923,4220,25201,1707599,1116578,0,23,4
20261,22770,8027,5020,3688,5205,1690315,61624,0,44,10
37809,13831,6407,3910,2361,6818,920551,291780,0,60,14
107044,10073,17148,10903,7639,35333,2009404,1030708,0,47,13
16925,3747,4812,1670,3027,8159,350925,122463,0,48,8
16925,3747,4812,1670,3027,8159,350925,122463,0,48,8
28909,11733,5693,7330,2030,36167,1379102,129844,0,51,23
4368,1155,7908,5011,1481,7652,579710,606968,0,24,23
51642,7784,13720,6552,4223,39007,2390847,84920,0,38,21
6012,8899,2107,3168,932,10362,454558,313418,0,63,20
50994,102553,28291,20302,10071,13622,1334770,628963,0,48,13
16430,4051,3828,2460,1083,13216,1683045,71113,0,47,14
13234,6881,2861,3969,2394,11577,429367,291957,0,23,13
18884,17690,11768,8454,2176,2250,44078,17465,0,69,47
1532,8670,3491,5724,5697,2697,11141,15362,0,84,91
1532,8670,3491,5724,5697,2697,11141,15362,0,84,91
75135,21385,13136,5383,8522,4772,68727,59221,0,90,84
1808,1132,5796,2993,2947,2766,2341,9930,0,78,74
71568,18657,21323,9745,7302,8689,1168983,83716,0,80,87
15620,9140,13421,10033,2628,3768,97892,69061,0,84,80
3701,4345,7246,3179,1794,2003,6698,10022,0,78,80
18573,6527,13234,6417,4685,2167,13952,33978,0,93,80
98507,62917,63749,15452,12842,22464,377997,185947,0,97,66
888,2586,3460,1878,2419,4171,871956,101114,0,63,41
5521,309,1492,1373,668,972,81436,27662,0,54,40
16643,16210,11644,6025,5180,33005,1377565,334910,0,53,21
24400,10009,5956,10350,8562,11195,818877,67570,0,66,35
3168,2069,587,592,282,2185,110098,61010,0,77,61
13170,8043,5009,2871,3357,28329,1006220,490428,0,60,34
5780,16956,7191,6887,3007,26521,383674,93567,0,47,30
7332,2215,5502,4534,1215,20759,957932,69249,0,47,48
8510,6086,7223,7708,4318,21502,328059,125107,0,47,41
37370,6180,11912,4024,1345,6892,362883,153455,0,53,44
37370,6180,11912,4024,1345,6892,362883,153455,0,53,44
8956,8424,2412,5297,4018,15644,382240,185374,0,47,27
10524,6010,8965,3980,1961,21676,218698,72909,0,53,37
1423,3248,4363,3417,3249,13038,19597,14709,0,64,67
1097,3149,2239,4809,4148,39690,13081,12797,0,69,94
61233,62088,59658,21741,28153,245462,1444668,487402,0,67,66
13669,1648,6785,3977,1529,23689,384242,128989,0,53,29
25826,3789,991,8733,5307,35021,489440,160575,0,48,38
19007,3306,2400,3168,709,9912,191908,106859,0,56,41
2014,3853,715,687,617,1811,261600,8875,0,61,35
2014,3853,715,687,617,1811,261600,8875,0,61,35
9207,6406,6723,5059,2500,26516,818359,45283,0,56,29
4691,2768,2407,1098,990,9237,1236705,26352,0,56,43
5133,2882,2878,1486,1491,7578,770724,43167,0,43,17
108051,8877,12363,4172,5345,25069,1216752,178121,0,57,10
12430,16409,9299,7903,7183,14158,1423626,815453,0,63,13
49870,11623,21882,13587,6402,33524,1095408,1247422,0,43,14
1102,2619,1088,494,900,2161,567008,36505,0,38,16
1102,2619,1088,494,900,2161,567008,36505,0,38,16
4170,1958,2284,3712,1207,8397,2026311,56118,0,44,30
27715,5615,4943,5010,5594,15064,550931,477567,0,35,16
3641,1082,223,887,1178,1295,369317,22080,27,44,8
3641,1082,223,887,1178,1295,369317,22080,27,44,8
12991,2535,7258,2043,1171,5253,2033439,167853,0,35,10
31163,61002,6977,8705,3809,23740,263183,62255,0,69,30
26598,18048,16829,17821,12562,41268,346880,409406,0,69,41
26598,18048,16829,17821,12562,41268,346880,409406,0,69,41
4679,15303,4657,6756,2764,2648,23142,10384,0,66,88
4679,15303,4657,6756,2764,2648,23142,10384,0,66,88
6991,8151,4087,5218,5791,2142,9092,45353,0,75,84
8355,8569,6914,8664,3083,1168,10689,23464,0,83,83
12794,21161,19377,7804,4660,62686,73800,96265,0,67,61
12794,21161,19377,7804,4660,62686,73800,96265,0,67,61
4347,916,4615,3769,1202,12088,19256,7055,0,69,90
11296,1295,5309,4623,689,9335,5573,9193,0,78,94
8378,1271,2433,3955,2779,10441,5939,11569,0,83,96
54597,22834,28606,32461,16317,139489,2648242,729439,0,63,88
2655,3144,3201,1029,734,6295,171715,16456,0,57,60
4032,9178,4456,3036,2000,18728,685733,69184,0,61,38
15053,6778,8990,1981,2886,25065,790963,196420,0,43,30
8085,4705,5236,4439,4331,14949,16270,21912,0,50,57
8085,4705,5236,4439,4331,14949,16270,21912,0,50,57
3003,8939,5817,2534,506,8058,246356,71199,0,67,27
5889,595,308,664,276,1351,100018,15365,0,48,26
339,2240,3882,1756,816,9652,455233,38086,0,47,37
38311,13491,7640,2776,1241,6646,1679104,131252,0,41,34
24731,6364,15379,5396,5928,26591,1113053,124102,0,44,34
24837,6206,8287,7708,3437,22899,597009,1202177,0,27,16
39807,5694,21473,8008,1690,34899,2206459,323671,0,27,1
18670,12769,13987,5947,2620,16844,669373,36613,0,57,24
26274,8287,1946,2631,1320,5289,228525,207853,0,54,29
8426,6966,2421,2971,2061,6181,271569,59650,0,47,26
5701,1404,7210,1647,741,1776,233671,13293,0,48,30
46848,18170,7597,3622,4749,22810,1199794,103061,0,63,29
5832,10892,11256,13199,2931,7332,1890882,162156,0,56,40
19868,6694,7990,15926,5731,4466,337023,66929,0,53,60
50094,11051,8123,4314,3886,8206,637198,300776,0,53,41
7740,8263,5422,4188,4948,27831,1795585,24727,0,51,35
52767,11110,14014,9583,5384,26301,1222588,449840,0,54,43
15702,7509,2081,3089,1806,7476,1622092,192835,0,47,20
15702,7509,2081,3089,1806,7476,1622092,192835,0,47,20
